[15:55:10] [ServerMain/INFO]: Building unoptimized datafixer
[15:55:11] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:55:12] [ServerMain/INFO]: Loaded 7 recipes
[15:55:13] [Server thread/INFO]: Starting minecraft server version 1.19.3
[15:55:13] [Server thread/INFO]: Loading properties
[15:55:13] [Server thread/INFO]: This server is running Paper version git-Paper-396 (MC: 1.19.3) (Implementing API version 1.19.3-R0.1-SNAPSHOT) (Git: bd77b78)
[15:55:13] [Server thread/INFO]: Server Ping Player Sample Count: 12
[15:55:13] [Server thread/INFO]: Using 4 threads for Netty based IO
[15:55:13] [Server thread/INFO]: [ChunkTaskScheduler] Chunk system is using 1 I/O threads, 3 worker threads, and gen parallelism of 3 threads
[15:55:13] [Server thread/INFO]: Default game type: SURVIVAL
[15:55:13] [Server thread/INFO]: Generating keypair
[15:55:13] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:55:13] [Server thread/INFO]: Using default channel type
[15:55:13] [Server thread/INFO]: Paper: Using Java compression from Velocity.
[15:55:13] [Server thread/INFO]: Paper: Using Java cipher from Velocity.
[15:55:14] [Server thread/INFO]: [GSit] Loading GSit v1.3.7
[15:55:14] [Server thread/INFO]: [Timber] Loading Timber v1.1.0
[15:55:14] [Server thread/INFO]: [floodgate] Loading floodgate v2.2.0-SNAPSHOT (b74-4f36112)
[15:55:15] [Server thread/INFO]: [floodgate] Demorou 457ms para inicializar o Floodgate
[15:55:15] [Server thread/INFO]: [Geyser-Spigot] Loading Geyser-Spigot v2.1.0-SNAPSHOT
[15:55:15] [Server thread/INFO]: [Geyser-Spigot] Carregando extensões...
[15:55:15] [Server thread/INFO]: [Geyser-Spigot] 0 extensão(ões) carregada
[15:55:15] [Server thread/INFO]: Server permissions file permissions.yml is empty, ignoring it
[15:55:15] [Server thread/INFO]: Preparing level "world"
[15:55:16] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:55:16] [Server thread/INFO]: Time elapsed: 212 ms
[15:55:16] [Server thread/INFO]: Preparing start region for dimension minecraft:the_nether
[15:55:16] [Server thread/INFO]: Time elapsed: 47 ms
[15:55:16] [Server thread/INFO]: Preparing start region for dimension minecraft:the_end
[15:55:16] [Server thread/INFO]: Time elapsed: 30 ms
[15:55:16] [Server thread/INFO]: [GSit] Enabling GSit v1.3.7
[15:55:16] [Server thread/INFO]: [GSit] The plugin was successfully enabled.
[15:55:17] [Server thread/INFO]: [Timber] Enabling Timber v1.1.0
[15:55:17] [Server thread/INFO]: Timber Log Materials: [BIRCH_LOG, JUNGLE_LOG, ACACIA_LOG, OAK_LOG, DARK_OAK_LOG, CRIMSON_STEM, SPRUCE_LOG, WARPED_STEM]
[15:55:17] [Server thread/INFO]: Timber Axe Materials: [STONE_AXE, GOLDEN_AXE, DIAMOND_AXE, WOODEN_AXE, IRON_AXE, NETHERITE_AXE]
[15:55:17] [Server thread/INFO]: [floodgate] Enabling floodgate v2.2.0-SNAPSHOT (b74-4f36112)
[15:55:18] [Server thread/INFO]: [Geyser-Spigot] Enabling Geyser-Spigot v2.1.0-SNAPSHOT
[15:55:18] [Server thread/INFO]: [Geyser-Spigot] ******************************************
[15:55:18] [Server thread/INFO]: [Geyser-Spigot] 
[15:55:18] [Server thread/INFO]: [Geyser-Spigot] Carregando Geyser versão 2.1.0-SNAPSHOT (git-master-e42c2d8)
[15:55:18] [Server thread/INFO]: [Geyser-Spigot] 
[15:55:18] [Server thread/INFO]: [Geyser-Spigot] ******************************************
[15:55:21] [Network Listener - #1/INFO]: [Geyser-Spigot] Geyser iniciado em 0.0.0.0: 19132
[15:55:21] [Server thread/INFO]: [Geyser-Spigot] Concluído (3,435 s)! Execute /geyser help para obter ajuda!
[15:55:21] [Server thread/INFO]: Running delayed init tasks
[15:55:21] [Server thread/INFO]: Done (8.245s)! For help, type "help"
[15:55:21] [Server thread/INFO]: Timings Reset
[15:57:29] [User Authenticator #0/INFO]: UUID of player Riciler is 17072e58-2eb6-48c0-951c-6fb6036a2d57
[15:57:29] [Server thread/INFO]: Riciler joined the game
[15:57:29] [Server thread/INFO]: Riciler[/177.18.144.179:64076] logged in with entity id 322 at ([world]-1307.0062944738538, 42.0, -702.1154693318742)
[16:12:28] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:28] [Server thread/INFO]: SAND
[16:12:28] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:28] [Server thread/INFO]: SAND
[16:12:28] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:28] [Server thread/INFO]: SAND
[16:12:28] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:28] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:29] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:29] [Server thread/INFO]: SAND
[16:12:30] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:30] [Server thread/INFO]: SAND
[16:12:30] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:30] [Server thread/INFO]: SAND
[16:12:30] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:30] [Server thread/INFO]: SAND
[16:12:30] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:30] [Server thread/INFO]: SAND
[16:12:30] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:30] [Server thread/INFO]: SAND
[16:12:31] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:31] [Server thread/INFO]: SAND
[16:12:31] [Server thread/INFO]: DIAMOND_SHOVEL
[16:12:31] [Server thread/INFO]: SAND
